Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Los Angeles Kings,20162017,82,86,0.524,640,665,49,55,51.9,54.2,57.6,54,55,53.2,54.9,56.1,54.4,56.3,6.3,92.1,98.4
Boston Bruins,20162017,82,95,0.579,710,735,49.1,54.7,51.6,53.9,60,54,55.4,54.1,54.3,58.4,55,53.3,6.8,91.4,98.1
Montréal Canadiens,20162017,82,103,0.628,770,645,54.4,52.5,50.9,52.9,53.9,52.2,52.4,53.1,53,51,52.1,48.4,7.6,93.2,100.8
Washington Capitals,20162017,82,118,0.72,890,560,61.4,51.8,48.9,53.9,55,52.1,51.5,49.8,52.7,53.4,51.6,52.5,9.2,93.7,102.9
Nashville Predators,20162017,82,94,0.573,800,715,52.8,51.4,48.3,49.6,56.6,50.5,51,49.4,49.4,54.3,50.3,50.1,7.9,92.6,100.4
Carolina Hurricanes,20162017,82,87,0.53,725,850,46,51.3,49,50.2,55.3,50.7,50.4,49.5,48.6,53.9,49.5,54.8,7.3,91.3,98.6
Tampa Bay Lightning,20162017,82,94,0.573,700,725,49.1,51.3,46.6,52.2,53.9,52,50.6,47.2,52.1,51.6,51.7,50,7.4,92.4,99.8
San Jose Sharks,20162017,82,99,0.604,755,675,52.8,51.1,48.6,51.2,55,51.9,52,50.6,52.2,54,52.6,52.3,7.8,92.5,100.3
Philadelphia Flyers,20162017,82,88,0.537,635,770,45.2,51.1,47.2,50.6,54.8,51.8,51.4,49.1,51.5,52.8,52,52.8,6.7,91.6,98.3
Calgary Flames,20162017,82,94,0.573,700,720,49.3,50.5,46.3,51.5,53.8,50.3,50.1,47.8,51.4,51.2,50.3,47.7,7.6,92,99.6
Florida Panthers,20162017,82,81,0.494,650,800,44.8,50.5,49,49,53.7,50,50.2,50.5,48.5,51.9,49.8,50.7,6.6,92.2,98.7
Chicago Blackhawks,20162017,82,109,0.665,820,690,54.3,50.4,47.1,49.6,56.1,50.3,49.9,48,48.4,54.7,49.6,51.8,8.1,93.3,101.4
Toronto Maple Leafs,20162017,82,95,0.579,845,805,51.2,50.4,46.4,50.8,55.5,50.5,49.8,47.4,49.9,52.9,49.7,49.1,8.3,92.3,100.6
Columbus Blue Jackets,20162017,82,108,0.659,840,660,56,50.3,47.9,49.8,54.8,50.8,50.5,49.7,49.4,53.2,50.5,49.2,8.2,93.3,101.4
St. Louis Blues,20162017,82,99,0.604,770,690,52.7,50.2,45.7,51.8,53.7,51.1,50.5,48.1,51.4,52.3,50.9,48.3,8.4,92.3,100.7
Pittsburgh Penguins,20162017,82,111,0.677,925,750,55.2,50.1,49.2,49.7,52,49.9,51.2,51.8,50.4,51.6,50.8,52.9,8.6,92.7,101.2
Dallas Stars,20162017,82,79,0.482,745,770,49.2,50.1,43.4,51.7,53.8,50.2,50.7,44.4,52.7,53.6,51,46.7,7.6,91.9,99.5
Edmonton Oilers,20162017,82,103,0.628,830,700,54.3,50,46.3,49.6,55,49.7,51,49.2,50.5,53.8,50.8,50.9,8.3,92.7,101
Anaheim Ducks,20162017,82,105,0.64,730,640,53.3,49.7,46.6,50.3,53.4,50.9,50.1,48.6,50.2,52.1,51,48.4,7.8,93,100.8
Minnesota Wild,20162017,82,106,0.646,935,740,55.8,49.3,45.7,50.5,53.4,50.3,49.9,47.2,50.8,53.1,50.8,49.7,9.2,92.6,101.8
Winnipeg Jets,20162017,82,87,0.53,785,830,48.6,49.3,47.9,48.5,51.2,48.5,49.4,48.5,49.1,50.5,48.4,49.3,8.5,91.5,99.9
Ottawa Senators,20162017,82,98,0.598,675,705,48.9,48.6,45.7,48.1,51.8,48.4,48.8,48.3,47.6,50.7,48.7,51.7,7,92.6,99.7
Colorado Avalanche,20162017,82,48,0.293,570,965,37.1,48.5,45.3,47.4,50.4,47.2,47.6,46.5,47.4,48.1,46.3,48.6,6.3,90.7,97
Detroit Red Wings,20162017,82,79,0.482,720,810,47.1,48.2,44.6,49.2,49.7,47.4,48.3,46.1,49.7,48.4,47.3,50.9,7.9,91.7,99.6
New York Rangers,20162017,82,102,0.622,835,770,52,48,43.2,47.4,54,48.4,48.8,45.2,48.8,52.6,49.4,48.7,8.8,92.3,101.1
Vancouver Canucks,20162017,82,69,0.421,640,790,44.8,47.9,41,47.9,51.3,48.2,46.8,42.5,46.5,49.1,47.1,50.3,7,92.4,99.4
New Jersey Devils,20162017,82,70,0.427,570,750,43.2,47.8,44.6,47.9,49.7,47.7,47.9,45.7,48.8,48.4,48,45.2,6.4,92.4,98.8
New York Islanders,20162017,82,94,0.573,885,850,51,47.8,45.1,47.1,52.1,47.7,48,47,47,50.7,48.2,49.8,8.9,91.8,100.7
Buffalo Sabres,20162017,82,78,0.476,630,775,44.8,47.2,41.9,48.7,50.2,47.8,47.3,42.9,48.7,49.6,47.4,47.4,6.4,92.9,99.3
Arizona Coyotes,20162017,82,70,0.427,660,835,44.2,45,40.8,44.4,48.3,45.4,44.5,42.1,44.5,45.9,45.1,43.6,7.3,92.5,99.8
Carolina Hurricanes,20172018,82,83,0.506,775,895,46.4,54.5,51.6,54.2,57.7,55.1,53.2,51.7,53,55,54.2,56.5,7,90.9,97.9
Boston Bruins,20172018,82,112,0.683,835,690,54.8,53.7,51.4,52.6,57.9,53.4,53.8,52.7,52.7,56.5,53.5,56.3,7.9,92.3,100.3
Calgary Flames,20172018,82,84,0.512,735,790,48.2,53.5,51.3,53.2,55.8,52.8,53.3,52.5,53.5,53.8,52.9,51.8,6.9,91.9,98.7
Chicago Blackhawks,20172018,82,76,0.463,785,870,47.4,52.3,50.6,50.8,55.6,51.2,51,50.7,49.1,53.3,49.9,54.9,7.1,91.8,98.9
Pittsburgh Penguins,20172018,82,100,0.61,805,880,47.8,52.3,49.9,53.5,53.3,51.8,53.1,52.2,54.5,52.5,52.4,53.5,7.2,91,98.2
St. Louis Blues,20172018,82,94,0.573,750,685,52.3,51.7,49.7,52.5,53.1,51.3,52.7,51.2,53.9,53.1,52.1,49.2,7.2,92.9,100
Tampa Bay Lightning,20172018,82,113,0.689,980,735,57.1,51.7,48.9,52.8,54.2,53,51.5,49,52.9,53.4,53.2,52.6,9.4,92.9,102.3
Winnipeg Jets,20172018,82,114,0.695,875,720,54.9,51.5,50.7,50.4,54.5,51.6,51.7,52.1,50.5,52.5,51.4,50.4,8.6,92.5,101.1
Columbus Blue Jackets,20172018,82,97,0.591,845,740,53.3,51.5,46.2,52.1,56.7,51.3,52.6,48.8,52.6,56.9,52.2,52.3,7.5,92.8,100.3
Nashville Predators,20172018,82,117,0.713,835,640,56.6,51.5,46.9,53.7,56.4,51.5,51.5,47.3,53.9,55.3,51.5,49.2,8.2,93.6,101.7
Dallas Stars,20172018,82,92,0.561,740,675,52.3,51,46.7,51.9,54.3,51.6,51.1,47.9,52.1,53.1,51.6,47,7.7,92.7,100.4
San Jose Sharks,20172018,82,100,0.61,795,825,49.1,50.9,47.3,52.2,53.4,51.7,51.7,49,53.6,52.5,52.6,50.9,7.6,91.6,99.2
Vegas Golden Knights,20172018,82,109,0.665,870,785,52.6,50.8,48.3,51.4,53.7,50.8,50.7,49.4,51.3,51.8,50.6,52.2,8.4,92.1,100.5
Edmonton Oilers,20172018,82,78,0.476,815,880,48.1,50.6,48.4,50.9,51.8,50.7,51.1,51.4,50.9,51.2,51.3,52.3,7.5,91.8,99.3
Montréal Canadiens,20172018,82,71,0.433,650,790,45.1,50.5,47.3,50.4,52.8,50.3,50.4,49.9,49.8,51.3,49.8,50.4,6.3,92.2,98.5
Los Angeles Kings,20172018,82,98,0.598,765,670,53.3,50,46,51.2,52.3,51,49.7,46.6,51,51,50.3,50,7.9,93.1,101
Toronto Maple Leafs,20172018,82,105,0.64,935,790,54.2,49.8,47.4,47.8,56.2,49.3,48.7,48,45.4,54,47.4,47,9,92.9,101.9
Philadelphia Flyers,20172018,82,98,0.598,785,725,52,49.7,46.2,50,53.3,50,50.1,48.6,50.2,51.7,50.4,48.3,7.8,92.4,100.3
Florida Panthers,20172018,82,96,0.585,830,840,49.7,49.2,44.8,49.2,53.9,50,50,46.4,50.5,53.3,51.2,45.5,7.6,92.4,100
Detroit Red Wings,20172018,82,73,0.445,745,830,47.3,48.8,45.9,49.6,50.5,48.7,49.4,48.2,50.3,49.4,49.5,48.4,7.6,92,99.6
New Jersey Devils,20172018,82,97,0.591,800,835,48.9,48.6,46.7,47.6,51.4,48.7,49,48.9,48,50.2,49.2,47.6,7.9,91.7,99.7
Anaheim Ducks,20172018,82,101,0.616,785,685,53.4,48.6,45.6,48.2,53.1,47.7,48.5,46.5,48.4,51.5,47.9,48.5,8.1,93.3,101.4
Arizona Coyotes,20172018,82,70,0.427,700,820,46.1,48.1,44.6,48.4,50.6,48.3,47,44,46.7,49.6,47.1,46.5,7.3,92.2,99.5
Washington Capitals,20172018,82,105,0.64,850,765,52.6,48,45.2,46.5,53.4,48,47.4,46,45.8,51.1,47.2,50.2,9.2,92.5,101.7
Vancouver Canucks,20172018,82,73,0.445,690,820,45.7,47.7,41.7,47.9,51.4,48.4,47.7,43.1,48.1,50.2,48.4,48.5,7.2,92.2,99.3
Buffalo Sabres,20172018,82,62,0.378,595,880,40.3,47.6,41.6,47.2,50.9,47.2,47.6,43.3,48.1,49.2,47.1,50.3,6.1,91.6,97.8
Colorado Avalanche,20172018,82,95,0.579,760,700,52.1,47.6,46.1,46.6,50.7,48.4,47,46.5,45.6,49.5,47.7,47.8,8.3,93.2,101.5
New York Islanders,20172018,82,80,0.488,885,951,48.2,47.5,43.6,48,50.3,47.3,46.8,44.9,47.4,48,47,45.8,8.8,91.7,100.5
Minnesota Wild,20172018,82,101,0.616,800,720,52.6,47.2,45.5,45.6,51.7,46.9,48.1,47.8,46,51.4,47.6,47.6,8.2,92.7,100.9
Ottawa Senators,20172018,82,67,0.409,760,990,43.4,47.2,43.3,46,50.5,46.9,47.6,46.1,47.6,48.4,47.8,49.1,7.8,90.8,98.6
New York Rangers,20172018,82,77,0.47,750,905,45.3,45.9,41.7,45.5,48.8,44.6,46.1,43.7,45.4,48,44.6,49.3,7.6,92.2,99.8
San Jose Sharks,20182019,82,101,0.616,960,925,50.9,54.9,52.2,57,55.9,56.2,54.6,53.5,56.4,53.9,55.4,53.3,9,89.7,98.7
Carolina Hurricanes,20182019,82,99,0.604,800,740,52,54.8,49.6,55.5,60.9,55.2,54.8,50.5,55.1,60.2,54.8,53.7,7.2,92.1,99.2
Vegas Golden Knights,20182019,82,93,0.567,865,810,51.6,54.4,51.3,54.9,57.1,54.8,54.2,52.4,55.4,54.7,55.1,54.4,7.8,91.5,99.3
Montréal Canadiens,20182019,82,96,0.585,940,815,53.6,54.1,52.7,53.9,56.2,53.9,53.4,53,52.9,54.6,53,51.8,8.2,91.9,100.1
Calgary Flames,20182019,82,107,0.652,935,745,55.7,53.8,50.5,53,58.2,53.4,53.1,50.6,52.9,56,52.8,53.5,9.1,91.8,100.9
Boston Bruins,20182019,82,107,0.652,780,635,55.1,53.1,50.7,53.3,56.2,53.3,53.6,52.4,53.5,55.6,54,54.1,7.3,93.1,100.5
Nashville Predators,20182019,82,100,0.61,820,705,53.8,52.3,48.7,53.7,54.6,52.5,52.4,50.8,53.5,53,52.4,51.5,7.7,92.8,100.5
Toronto Maple Leafs,20182019,82,100,0.61,"1,030",850,54.8,51.7,48.2,52.4,55.2,52.6,50.1,48.4,50.2,51.9,50.5,50.3,9.5,92.4,101.9
Tampa Bay Lightning,20182019,82,128,0.78,"1,030",785,56.8,51.6,49.4,52.2,54.5,51.2,51.4,49.9,51.5,53.7,50.5,50.1,9.8,92.2,102
St. Louis Blues,20182019,82,99,0.604,830,735,53,51.5,49.2,50.3,56.3,50.8,52,50.5,51.2,55.2,51.6,50.5,8.1,92.1,100.2
Minnesota Wild,20182019,82,83,0.506,700,775,47.5,50.9,49.2,48.4,54.6,49.4,51.9,52.4,49.4,53.8,50,50.2,6.8,91.7,98.4
Columbus Blue Jackets,20182019,82,98,0.598,930,850,52.3,50.2,47.2,52.3,51.8,51.4,51.1,49.1,53.5,51.2,52.3,51.3,8.8,91.6,100.4
Buffalo Sabres,20182019,82,76,0.463,770,925,45.4,50,48,49.1,52.2,48.6,49.8,49,49,51.2,48.4,49.7,7.2,91.5,98.7
Colorado Avalanche,20182019,82,90,0.549,780,765,50.5,49.9,46,50,53.5,50,50.3,47.7,50.4,52.6,50.6,53.4,7.6,92.3,99.9
Pittsburgh Penguins,20182019,82,100,0.61,910,750,54.8,49.7,46.5,52,52,50.4,50.2,47.6,52.8,51,50.9,48.5,8.3,93.1,101.4
Florida Panthers,20182019,82,86,0.524,810,940,46.3,49.4,45.4,50.6,52.1,51,50,47.2,50.8,51.9,51.6,49.5,7.9,90.7,98.5
Chicago Blackhawks,20182019,82,84,0.512,915,920,49.9,49.3,46.2,50.6,50.8,49.9,48.4,46.8,49.6,48.6,48.8,51.5,8.6,91.9,100.5
Washington Capitals,20182019,82,104,0.634,985,805,55,49,46.8,48.4,53.1,49,49,47.9,48.3,51.2,49,51.3,10.1,92.1,102.2
Winnipeg Jets,20182019,82,99,0.604,835,815,50.6,49,46.5,48.3,53.1,48,48.8,47.6,47.5,52.1,47.6,53.8,8.4,92.3,100.7
Arizona Coyotes,20182019,82,86,0.524,655,785,45.5,48.9,44.6,48.5,53.7,48.3,49.4,46.6,49.2,52.6,49,50,6.6,92.2,98.8
Philadelphia Flyers,20182019,82,82,0.5,825,950,46.5,48.5,45.1,47.4,51.5,48.1,48.9,47.8,47.7,50.6,48.7,46.3,8.3,91,99.4
Dallas Stars,20182019,82,93,0.567,680,665,50.6,48.3,45.1,47.2,53,47.9,48.5,45.6,47.6,52.2,48.1,46.3,6.9,93.5,100.4
Los Angeles Kings,20182019,82,71,0.433,700,850,45.2,48.1,43,48.5,50.5,48,47.7,45,48,48.8,47.8,47.2,7.5,91.7,99.2
Edmonton Oilers,20182019,82,79,0.482,730,890,45.1,48,45.3,47,51.2,47.8,47.8,47.3,46.5,49.3,48.1,47.3,7.7,91.5,99.2
Vancouver Canucks,20182019,82,81,0.494,725,880,45.2,47.9,46.4,47.2,49.6,48.3,48,48,48,48.1,48.5,47.2,7.8,91.6,99.3
New York Islanders,20182019,82,103,0.628,810,635,56.1,47.9,42.7,49.7,53,48.3,48.3,44.6,49.7,51.9,48.3,47.7,8.6,93.7,102.2
Anaheim Ducks,20182019,82,80,0.488,685,770,47.1,47.6,45.6,44.3,52.3,46.5,47.2,46.7,44.5,50.2,46.6,49.1,7.4,92.6,100
Detroit Red Wings,20182019,82,74,0.451,735,885,45.4,47.1,43.3,48.4,48.6,48,46.3,43.6,47.2,47.4,46.9,48,7.8,92,99.8
New Jersey Devils,20182019,82,72,0.439,730,920,44.2,46.9,44.6,47,48.4,47.1,47.5,46.4,47.9,48,47.6,44.4,7.6,91.1,98.7
New York Rangers,20182019,82,78,0.476,725,860,45.7,46.1,44.8,44.5,48.6,45.2,46.4,45.6,45.3,47.9,45.7,47.5,7.8,91.9,99.7
Ottawa Senators,20182019,82,64,0.39,850,"1,095",43.7,44.9,40.4,44.7,48.2,44.7,45.5,42.9,45.2,47.4,45.5,46.7,8.7,90.7,99.4
Vegas Golden Knights,20192020,71,86,0.606,750,720,51,54.8,52.9,54.7,57,54.1,55,54.1,55.2,55.9,54.6,55.5,7.7,91.2,98.9
Montréal Canadiens,20192020,71,71,0.5,735,710,50.9,54.4,53.4,54,56.1,53.9,53.7,54,53.5,53.7,53.2,50.6,7.5,91.7,99.2
Carolina Hurricanes,20192020,68,81,0.596,705,680,50.9,54.3,50.5,53.9,58.7,54.4,53.6,50.7,53.7,56.4,53.7,52.3,8.1,91.2,99.3
Los Angeles Kings,20192020,70,64,0.457,595,700,46,53.1,49.2,51.9,57.1,52.1,52.8,49.4,52,56.1,51.7,50.6,6.4,91.5,98
Tampa Bay Lightning,20192020,70,92,0.657,810,610,57,52.2,51.8,50.7,55.5,51.5,51.5,52.9,48.9,53,50.3,51.3,9.7,92.6,102.2
Toronto Maple Leafs,20192020,70,81,0.579,790,785,50.2,52,48.7,53.9,53.4,52.3,51.3,49.6,53.2,51,51.4,50.2,8.6,91.2,99.7
Colorado Avalanche,20192020,70,92,0.657,810,575,58.5,51.6,48.8,53.9,53.8,54,51.4,50,52.9,51.9,53.6,50.8,9.1,93.2,102.3
Washington Capitals,20192020,69,90,0.652,790,710,52.7,51.6,49.7,50.8,54.4,51.9,51.3,51.3,50,52.6,51.8,49.9,9.5,91.3,100.7
Pittsburgh Penguins,20192020,69,86,0.623,755,690,52.3,51,48.5,49.1,55.5,50.4,51.5,50.3,50.3,54.2,51,51.7,8.7,91.5,100.2
Nashville Predators,20192020,69,78,0.565,760,675,53,50.9,47.3,50.8,54.5,50.1,51.6,49.8,51.5,53.6,50.9,49,8.6,92,100.6
Philadelphia Flyers,20192020,69,89,0.645,765,670,53.3,50.9,48.5,51,53.4,51.8,50.8,50.3,49.1,52.8,50.8,48.4,9.3,91.5,100.8
Boston Bruins,20192020,70,100,0.714,705,530,57.1,50.8,48.4,50.6,55.2,51.1,50.9,50.3,49.6,53.7,50.9,53,8.3,93.3,101.7
St. Louis Blues,20192020,71,94,0.662,745,595,55.6,50.8,48.4,51.7,53,51.4,50.8,49.1,51.6,52,50.9,50.4,8.6,92.7,101.3
San Jose Sharks,20192020,70,63,0.45,615,810,43.2,50.5,47.2,51.8,51.9,51.5,50.1,48.9,51.7,49.5,51.7,49.2,7.5,90.1,97.6
Calgary Flames,20192020,70,79,0.564,665,735,47.5,50.3,47.8,50.4,52.3,50,49.7,48,50.6,50.4,49.7,50.7,7.6,91.8,99.5
Florida Panthers,20192020,69,78,0.565,790,770,50.6,49.8,48.7,48.9,51.7,49.1,50.1,50.4,48.9,50.9,49,50.2,9,91.1,100.1
Minnesota Wild,20192020,69,77,0.558,785,700,52.9,49.6,44.9,51.9,52.2,50.4,49.7,47,52.5,49.8,50.8,49,9.5,91.5,101
Dallas Stars,20192020,69,82,0.594,540,560,49.1,49.5,45.7,51.3,50.8,49.5,49.3,47.6,50.3,49.9,49.1,49.5,6.7,93.2,99.8
Columbus Blue Jackets,20192020,70,81,0.579,625,610,50.6,49.2,45.1,49.5,52.2,49.4,50.9,47.8,51.3,53.1,51.3,51.4,6.8,92.8,99.6
Buffalo Sabres,20192020,69,68,0.493,650,670,49.2,49.1,45.6,49.9,51.1,50.1,48.6,47.1,50.4,48.1,50.1,49.7,8.2,92.2,100.4
Winnipeg Jets,20192020,71,80,0.563,690,710,49.3,48.5,44,47.1,53.4,48,47.6,44.3,46.1,51.6,47.3,53.2,8.1,92.4,100.5
Chicago Blackhawks,20192020,70,72,0.514,735,735,50,48.5,46.3,46.3,52.8,47.4,48,46.7,46.3,51.1,47,50.2,8.4,92.5,100.9
Vancouver Canucks,20192020,69,78,0.565,710,730,49.3,48.4,44.3,48,52.9,49.1,49.1,47,48,52,49.7,47.1,8.6,91.8,100.4
Arizona Coyotes,20192020,70,74,0.529,640,635,50.2,48.4,46.3,47.6,51.5,48.1,48.3,47.5,47.8,49.7,48.4,48.6,7.3,92.9,100.2
Anaheim Ducks,20192020,71,67,0.472,650,735,46.9,48.3,45,48.5,50.9,49,48.3,45.6,48.7,50.3,48.9,49,7.8,91.9,99.6
Ottawa Senators,20192020,71,62,0.437,645,775,45.4,48.2,46.4,46.7,50.5,47.9,48.5,48.8,46.7,49.9,48.4,47.8,7.6,91.7,99.2
Edmonton Oilers,20192020,71,83,0.585,710,785,47.5,47.8,45.4,49.3,49.2,47.9,48.3,46.6,49,49.5,47.6,49.9,8.5,91.2,99.7
New York Rangers,20192020,70,79,0.564,750,715,51.2,46.7,44.6,45.8,50.2,46.2,47.5,46.4,47,49.3,47,49.9,8.9,92,100.9
New York Islanders,20192020,68,80,0.588,630,665,48.7,46.5,43.5,47.1,49.2,47,46.7,45.4,47.8,47,47.2,47.5,7.9,92.3,100.2
New Jersey Devils,20192020,69,68,0.493,605,780,43.7,46.1,44.8,47.1,46.3,45.9,46.9,46.5,48.7,45.6,46.9,46.8,7.6,91.3,98.9
Detroit Red Wings,20192020,71,39,0.275,460,840,35.4,46,40.5,46.2,48.1,45,46,41.5,46.8,47.2,45.5,46.2,6.1,90.5,96.7
Colorado Avalanche,20202021,56,82,0.732,655,440,59.8,59,58.3,59,60.8,59.2,58.4,59.1,57,59.2,58.2,56.2,8.9,91.7,100.5
Montréal Canadiens,20202021,56,59,0.527,530,515,50.7,54.5,53.9,55.7,54,54.5,53.7,53.8,55.6,51.8,54.2,53,7.5,91.4,98.9
Boston Bruins,20202021,56,73,0.652,530,450,54.1,54.2,51.6,55.3,56.2,54.4,55.1,53.3,56.2,56,55.2,52.6,7.3,92.2,99.4
Carolina Hurricanes,20202021,56,80,0.714,525,405,56.5,53.7,53.1,54.5,53,53.8,53.3,54.5,53.3,50.8,53,50.1,7.5,93.5,101
Florida Panthers,20202021,56,79,0.705,575,465,55.3,53.5,49.9,54.4,57.5,53.9,53.8,51.2,55.4,55.5,54.7,51.1,7.9,92.5,100.4
Vegas Golden Knights,20202021,56,82,0.732,675,485,58.2,53.4,52.1,53.6,55.4,53.3,53.7,52.7,54.4,54.7,53.8,55.5,9.6,92.1,101.7
Calgary Flames,20202021,56,55,0.491,550,515,51.6,53,51.8,50.3,56.5,51.8,52.5,52.5,50.3,54.5,51.6,52.5,8.5,91.6,100
Dallas Stars,20202021,56,60,0.536,505,465,52.1,52.9,49.2,53.9,55.2,53.5,52.6,51.2,53.2,53.4,53,51.6,7.5,92,99.4
Tampa Bay Lightning,20202021,56,75,0.67,555,485,53.4,52.4,51.8,51.3,54.8,53.4,52.4,53.4,50.8,53,53,55.6,8.4,92.1,100.5
Philadelphia Flyers,20202021,56,58,0.518,535,670,44.4,52,49.6,49.8,55.1,50.7,51.4,50.6,49.7,53.4,50.2,50.8,8.3,89.5,97.8
Toronto Maple Leafs,20202021,56,77,0.688,665,475,58.3,51,48.5,52.5,53.9,52.5,51.7,51.2,52.3,51.7,52.3,52.9,9.8,92.4,102.1
Washington Capitals,20202021,56,77,0.688,635,530,54.5,50.5,50.5,49.5,52.4,51.5,50.2,51.6,49.6,49.1,50.9,52,9.9,91.7,101.6
Pittsburgh Penguins,20202021,56,77,0.688,630,500,55.8,50.5,49.1,51.6,51.4,50.9,50.6,49.5,51.1,51.6,50.8,50.7,9.4,92.4,101.8
New Jersey Devils,20202021,56,45,0.402,510,615,45.3,50.5,46.6,51.3,52.7,50,49.5,46,50.5,51.3,49,45.8,7.9,91.1,98.9
Nashville Predators,20202021,56,64,0.571,515,445,53.7,50,48.1,49.2,52.3,48.9,50.8,49.9,50,52.4,49.5,49.5,7.8,93.5,101.3
Anaheim Ducks,20202021,56,43,0.384,500,605,45.3,48.8,48.8,46.1,51.2,47.7,48,48.5,46.1,49.3,47.2,48.3,8.2,91.1,99.4
Arizona Coyotes,20202021,56,54,0.482,490,575,46,48.7,44.6,49,50.8,47.7,48.6,45.5,48.9,50.1,47.6,49.7,8.1,91.3,99.4
Edmonton Oilers,20202021,56,72,0.643,575,585,49.6,48.6,45.3,48.6,53.1,49,48.7,47.2,48.1,51.5,48.9,50.6,8.9,91.5,100.4
Ottawa Senators,20202021,56,51,0.455,520,655,44.3,48.6,46.9,47.3,50.8,48,48.8,48.6,47.8,49.8,48.2,44,8,90.7,98.7
New York Islanders,20202021,56,71,0.634,560,445,55.7,48.6,50.2,48.6,46.2,48.2,49.4,52.4,48.9,45.9,48.9,49.7,8.7,93,101.7
Winnipeg Jets,20202021,56,63,0.563,550,505,52.1,48.3,46.9,46,52.1,47,48.3,48.6,45.7,50.7,47.1,51.6,8.6,92.4,101
San Jose Sharks,20202021,56,49,0.438,520,665,43.9,47.9,48.1,46.6,49,47.3,48.3,49.7,46.6,48.8,47.4,45.1,8.1,90.3,98.4
Los Angeles Kings,20202021,56,49,0.438,470,585,44.6,47.8,43.9,50.1,48.6,48.3,48.1,46.8,51.2,47,49.1,49.9,7.7,91.1,98.7
St. Louis Blues,20202021,56,63,0.563,510,549,48.2,47.8,44.9,50.4,48.2,48.9,47.6,45.9,50,47,48.2,51,8.2,91.5,99.8
New York Rangers,20202021,56,60,0.536,575,515,52.8,47.3,45.4,46.5,50.5,47.5,47.8,47.5,46.8,49.2,48.4,50.4,9.3,92.1,101.4
Buffalo Sabres,20202021,56,37,0.33,435,685,38.8,46.6,43.3,46.8,47.8,46.4,46.2,44.5,46.5,46.7,46.3,48.1,6.7,91.1,97.8
Columbus Blue Jackets,20202021,56,48,0.429,480,650,42.5,46.5,43.8,46.7,48.1,45.4,47,46.2,47.2,47.4,45.9,49.1,7.2,91.3,98.5
Vancouver Canucks,20202021,56,50,0.446,515,655,44,46.3,43.7,49.9,46,47,46.6,45.2,50.6,45.4,47.6,45.7,8,91.1,99.1
Minnesota Wild,20202021,56,75,0.67,625,540,53.7,46.2,46,45.6,47.3,47.1,47.3,47.7,46.8,47.2,48.4,44.8,10.3,91.9,102.2
Chicago Blackhawks,20202021,56,55,0.491,500,620,44.6,45.9,44,46,47.2,46.6,45,44.6,45.6,44.8,46,47,8,91.7,99.7
Detroit Red Wings,20202021,56,48,0.429,435,555,43.9,45.4,47.1,44.7,45,45.7,45.3,47.9,45.3,43.3,45.9,46.1,7.3,92.2,99.4
